ISIN,RIC,LOCAL,
NO0010762792,INSTA.OL,INSTA,
NO0010955883,IWS.OL,IWS,
NO0010284318,IOX.OL,IOX,
NO0010001118,ITERA.OL,ITERA,
BMG5137R1088,JINJ.OL,JIN,
NO0010359433,JAREN.OL,JAREN,
NO0010823131,KAHOT.OL,KAHOT,
NO0010874597,KALK.OL,KAL,
NO0010743545,KID.OL,KID,
NO0003079709,KIT.OL,KIT,
NO0010833262,KCCK.OL,KCC,
NO0010360175,KMCP.OL,KMCP,
NO0011016040,KOMPLK.OL,KOMPL,
NO0010694029,KOMPK.OL,KOMP,
NO0003033102,KOA.OL,KOA,
NO0003043309,KOG.OL,KOG,
NO0010815103,KRAB.OL,KRAB,
NO0010936750,KYOTO.OL,KYOTO,
NO0003096208,LSG.OL,LSG,
NO0010591191,LIFEA.OL,LIFE,
NO0010894231,LINK.OL,LINK,
NO0010927288,LUMI.OL,LUMI,
NO0010405780,LYTIX.OL,LYTIX,
NO0010976343,MVWM.OL,MVW,
NO0010187032,MGN.OL,MGN,
NO0010663669,MSEIS.OL,MSEIS,
NO0010974983,MASM.OL,MAS,
NO0010159684,MEDI.OL,MEDI,
NO0006001908,MELG.OL,MELG,
NL00150003D3,MWTR.OL,MWTR,
NO0010307143,MRCEL.OL,MRCEL,
NO0010895022,MNTR.OL,MNTR,
NO0003054108,MOWI.OL,MOWI,
NO0010791353,MPCC.OL,MPCC,
NL0015268814,MPCES.OL,MPCES,
NO0010734338,MULTI.OL,MULTI,
DK0060520450,NAPA.OL,NAPA,
NO0010205966,NAVA.OL,NAVA,
NO0003049405,NKR.OL,NKR,
NO0010081235,NEL.OL,NEL,
GB00BF2PG875,NOCN.OL,NOC,
NO0010629108,NEXT.OL,NEXT,
NO0010733082,NISB.OL,NISB,
NO0010856511,NORBT.OL,NORBT,
NO0010892912,NCOD.OL,NCOD,
NO0011002651,NORDH.OL,NORDH,
DK0061414638,NOAP.OL,NOAP,
NO0003058109,NOHAL.OL,NOHAL,
NO0010317340,NOM.OL,NOM,
NO0010597883,NANOVN.OL,NANOV,
NO0003055501,NOD.OL,NOD,
NO0010907090,NUMND.OL,NUMND,
NO0010946445,NORSE.OL,NORSE,
NO0005052605,NHY.OL,NHY,
NO0010941925,NSOL.OL,NSOL,
NO0010969108,NTI.OL,NTI,
NO0010861115,NSKOG.OL,NSKOG,
NO0010900087,NTEL.OL,NTEL,
NO0010550056,NORTH.OL,NORTH,
BMG6624L1090,NODL.OL,NODL,
BMG6682J1036,NOL.OL,NOL,
NO0010331838,NRS.OL,NRS,
NO0010196140,NAS.OL,NAS,
NO0010984966,NBX.OL,NBX,
NO0010379266,NOR.OL,NOR,
NO0003679102,NRC.OL,NRC,
NO0004895103,NTSN.OL,NTS,
NO0010714785,NYKD.OL,NYKD,
NO0010865009,OBSRV.OL,OBSRV,
NO0010914641,OCEANO.OL,OCEAN,
NO0010887565,OSUN.OL,OSUN,
NO0010317316,OTS.OL,OTS,
BMG671801022,ODLO.OL,ODL,
NO0003399909,ODF.OL,ODF,
NO0003399917,ODFB.OL,ODFB,
NO0010816895,OKEA.OL,OKEA,
MHY641771016,OET.OL,OET,
NO0005638858,OLT.OL,OLT,
NO0003733800,ORK.OL,ORK,
NO0010040611,OTEC.OL,OTEC,
NO0010809783,OTOVO.OL,OTOVO,
NO0010564701,PENR.OL,PEN,
NO0010397581,PARB.OL,PARB,
NO0010895667,PSKY.OL,PSKY,
NO0010405640,PCIB.OL,PCIB,
CY0102630916,PSE.OL,PSE,
NO0011157232,PNOR.OL,PNOR,
NO0010840507,PEXIP.OL,PEXIP,
NO0010199151,PGS.OL,PGS,
NO0010395577,PHLY.OL,PHLY,
NO0010000045,PHO.OL,PHO,
NO0010735681,PPGP_p.OL,PPG,
NO0010890726,PMGP.OL,PMG,
NO0010466022,POL.OL,POL,
NO0010341712,PLT.OL,PLT,
NO0010861990,PRSO.OL,PRS,
NO0010209331,PROT.OL,PROT,
NO0010893902,PROXI.OL,PROXI,
NL00150005Z1,PRYME.OL,PRYME,
DE000A2G8ZX8,PYRUM.OL,PYRUM,
NO0003103103,QFR.OL,QFR,
NO0010785967,QFUEL.OL,QFUEL,
NO0011019119,QUEST.OL,QUEST,
CA74836K1003,QEC.TO,QEC,
NO0010859689,R8PR.OL,R8P,
GB00BRGBL804,RAKP.OL,RAKP,
NO0010907389,RANA.OL,RANA,
NO0003117202,REACH.OL,REACH,
NO0010112675,RECSI.OL,RECSI,
MT0001710103,RIVER.OL,RIVER,
NO0010808405,ROMER.OL,ROMER,
BMG763301022,ROMR.OL,ROM,
NO0010759988,ROMSB.OL,ROMSB,
CY0101550917,SDSD.OL,SDSD,
NO0010572589,SAGAS.OL,SAGA,
NO0010310956,SALM.OL,SALM,
NO0010892094,SALME.OL,SALME,
NO0012451915,SACAM.OL,SACAM,
NO0006001007,SADG.OL,SADG,
SE0003366871,SAS.ST,SAS,
NO0010863285,SATSS.OL,SATS,
NO0010739402,SBANK.OL,SBANK,
NO0003053308,SCANA.OL,SCANA,
NO0010715139,SCATC.OL,SCATC,
NO0003028904,SCHA.OL,SCHA,
NO0010736879,SCHB.OL,SCHB,
CY0101162119,GEG.OL,GEG,
BMG7998G1069,SDRL.OL,SDRL,
NO0010893803,SEAW7.OL,SEAW7,
NO0010781206,SSG.OL,SSG,
NO0010612450,SBOS.OL,SBO,
KYG236271055,SHLF.OL,SHLF,
KYG812291253,SIOFF.OL,SIOFF,
NO0010881717,SIKRI.OL,SIKRI,
NO0010931207,SKAND.OL,SKAND,
NO0006001809,SKUE.OL,SKUE,
NO0011008971,SMCRT.OL,SMCRT,
NO0011012502,SMOP.OL,SMOP,
NO0010811961,SOFTX.OL,SOFTX,
NO0006000603,SOGNS.OL,SOGN,
NO0003080608,SOFF.OL,SOFF,
NO0010887110,SB68.OL,SB68,
NO0006390301,MING.OL,MING,
NO0010631567,SRBNK.OL,SRBNK,
NO0006000207,SOONS.OL,SOON,
NO0006390004,,,No best match available
NO0006001502,SOR.OL,SOR,
NO0006000900,SVEG.OL,SVEG,
NO0006222009,SPOG.OL,SPOG,
NO0010691660,SNOR.OL,SNOR,
NO0010751910,SPOLS.OL,SPOL,
NO0010029804,HELG.OL,HELG,
NO0006000801,NONG.OL,NONG,
NO0006390400,RING.OL,RING,
NO0010285562,SOAG.OL,SOAG,
NO0010775844,STATT.OL,STATT,
BMG850801025,SNI.OL,SNI,
NO0003053605,STB.OL,STB,
NO0010098247,STRO.OL,STRO,
LU0075646355,SUBC.OL,SUBC,
NO0010672900,SUNSB.OL,SUNSB,
NO0010689326,TRVX.OL,TRVX,
NO0003095309,TECH.OL,TECH,
NO0010887516,TECO.OL,TECO,
NO0010951577,TEKNA.OL,TEKNA,
NO0010063308,TEL.OL,TEL,
NO0003078800,TGS.OL,TGS,
NL00150001S5,KING.OL,KING,
FI0009000277,TIETO.HE,TIETO,
NO0005668905,TOM.OL,TOM,
NO0006001205,TOTG.OL,TOTG,
NO0010763550,TRER.OL,TRE,
NO0010731615,TYSB.OL,TYSB,
NO0010851603,ULTI.OL,ULTI,
NO0011202772,VAR.OL,VAR,
NO0005806802,VEI.OL,VEI,
NO0010734122,VISTN.OL,VISTN,
NO0010894603,VOLUE.OL,VOLUE,
NO0003025009,VVL.OL,VVL,
NO0010708068,VOW.OL,VOW,
NO0011037483,VGM.OL,VGM,
NO0010571680,WAWI.OL,WAWI,
NO0010609662,WSTEP.OL,WSTEP,
NO0010768096,WEST.OL,WEST,
NO0010571698,WWI.OL,WWI,
NO0010576010,WWIB.OL,WWIB,
NO0010252356,WILS.OL,WILS,
NO0010895782,XPLRA.OL,XPLRA,
NO0010716863,XXL.OL,XXL,
NO0010208051,YAR.OL,YAR,
NO0010708910,ZAL.OL,ZAL,
NO0010713936,ZAP.OL,ZAP,
CA98936C1068,ZENZ.L,ZEN,
NO0010721277,ZWIPEZ.OL,ZWIPE,
NO0010934748,ORNO.OL,ORN,
